                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.777,                 2.1823,                 1.5596,                 2.0672,                 3.2312,                   1.46,                0.01295,                0.10831,                0.00453,                0.00195,                 3.0463,                 7192.8,                 9.1147,                 3.1838,                  139.7,                 11.808,             0.00055213,             0.00055213,             0.00055213
                      2,                 1.9496,                 2.2148,                 1.6808,                 2.3041,                 2.7558,                 1.5703,                0.21273,                0.17582,                0.09952,                0.04797,                 2.1283,                 9.9949,                  1.856,                 2.3931,                 12.412,                 1.7569,              0.0010992,              0.0010992,              0.0010992
                      3,                 1.9084,                 2.1143,                 1.6482,                 2.2484,                 2.6274,                 1.5384,                0.12503,                0.18878,                0.08389,                0.04509,                 2.1356,                 6.0921,                  1.795,                 2.4692,                 6.5443,                 1.6939,              0.0016377,              0.0016377,              0.0016377
                      4,                 1.8368,                 1.9514,                 1.5938,                 2.1746,                 2.4515,                 1.4999,                0.39235,                0.15688,                0.11505,                0.05999,                 2.0944,                   4.02,                 1.7642,                 2.2982,                 4.5267,                 1.6725,              0.0016283,              0.0016283,              0.0016283
                      5,                 1.7712,                 1.7957,                 1.5531,                 2.1228,                 2.3071,                 1.4739,                   0.26,                0.29423,                0.15582,                0.07833,                 2.0324,                 2.7142,                   1.62,                 2.4123,                 3.6672,                 1.5613,              0.0016283,              0.0016283,              0.0016283
                      6,                 1.7337,                 1.6902,                 1.5131,                 2.0769,                 2.1913,                 1.4417,                0.24889,                0.18438,                0.12912,                0.07518,                 1.9305,                 3.4483,                 1.5752,                 2.3421,                 3.7472,                  1.551,              0.0016154,              0.0016154,              0.0016154
                      7,                 1.7238,                 1.7216,                 1.5113,                 2.0747,                 2.2648,                 1.4363,                0.31574,                0.25193,                0.19729,                0.10702,                 1.8029,                 2.5662,                 1.4706,                 2.2318,                 3.6751,                 1.4564,              0.0016025,              0.0016025,              0.0016025
                      8,                 1.6948,                 1.6401,                 1.4822,                 2.0611,                 2.1918,                 1.4063,                0.35586,                0.30134,                0.21996,                0.11741,                 1.8038,                 2.2292,                  1.488,                 2.2717,                 2.9293,                 1.4784,              0.0015896,              0.0015896,              0.0015896
                      9,                 1.6761,                 1.5803,                 1.4757,                 2.0475,                 2.1346,                 1.3955,                 0.3085,                0.25513,                 0.1836,                0.10607,                 1.8867,                 2.1346,                 1.5391,                 2.2852,                 2.8178,                 1.4788,              0.0015767,              0.0015767,              0.0015767
                     10,                 1.6272,                 1.5001,                 1.4496,                 1.9877,                 2.0059,                 1.3764,                0.38872,                0.29263,                0.21757,                0.11984,                 1.7518,                 2.1978,                 1.4474,                 2.1324,                   2.98,                 1.4396,              0.0015639,              0.0015639,              0.0015639
                     11,                   1.64,                  1.498,                 1.4485,                  2.004,                 2.0248,                 1.3813,                0.37512,                0.32146,                0.24395,                0.13463,                 1.7635,                 2.3141,                 1.4691,                 2.1543,                 2.9686,                 1.4779,               0.001551,               0.001551,               0.001551
                     12,                 1.6194,                 1.4795,                 1.4322,                 2.0045,                 2.0168,                 1.3694,                0.36486,                0.29635,                0.23515,                0.13115,                  1.745,                 1.9948,                 1.4307,                 2.1749,                  3.149,                 1.4104,              0.0015381,              0.0015381,              0.0015381
                     13,                 1.6064,                  1.463,                 1.4295,                 1.9478,                 1.9796,                 1.3624,                0.36803,                0.29682,                0.21953,                0.12565,                 1.7941,                 1.9847,                 1.4645,                 2.1874,                 2.8131,                 1.4189,              0.0015252,              0.0015252,              0.0015252
                     14,                 1.5764,                 1.3882,                 1.4041,                 1.9603,                 1.9255,                 1.3486,                0.39251,                0.34664,                0.26878,                0.14998,                 1.6943,                 2.0486,                 1.4158,                 2.0707,                 2.9928,                 1.4116,              0.0015123,              0.0015123,              0.0015123
                     15,                 1.5596,                 1.3567,                 1.3925,                 1.9193,                 1.8519,                  1.339,                0.34576,                0.34768,                0.25242,                0.14457,                 1.7587,                 1.8551,                 1.4072,                 2.1044,                 2.6514,                 1.3883,              0.0014994,              0.0014994,              0.0014994
                     16,                 1.5588,                 1.3628,                 1.4064,                 1.9408,                 1.9057,                 1.3551,                0.41447,                 0.3609,                0.27693,                0.15383,                 1.6019,                  1.823,                 1.3695,                 2.0894,                 2.4776,                 1.3941,              0.0014865,              0.0014865,              0.0014865
                     17,                 1.5282,                 1.3385,                 1.3864,                 1.8996,                  1.844,                 1.3353,                0.42179,                0.32799,                 0.2679,                0.14753,                 1.6776,                 1.9281,                 1.3827,                 2.0808,                  2.673,                 1.3913,              0.0014736,              0.0014736,              0.0014736
                     18,                  1.565,                 1.3453,                 1.4027,                 1.9433,                 1.9041,                 1.3442,                0.36346,                0.32206,                0.24178,                0.13237,                 1.7649,                 1.9566,                 1.4656,                 2.2245,                 2.7458,                 1.4575,              0.0014607,              0.0014607,              0.0014607
                     19,                 1.4923,                 1.2634,                 1.3671,                 1.8554,                 1.7562,                  1.328,                0.39234,                0.34881,                0.26612,                0.14541,                 1.7197,                 2.1882,                 1.4267,                 2.1329,                 3.1144,                 1.4113,              0.0014478,              0.0014478,              0.0014478
                     20,                 1.4884,                  1.265,                 1.3657,                  1.855,                 1.7642,                  1.317,                0.42509,                0.36266,                 0.2942,                0.17533,                 1.6557,                 1.7186,                 1.3927,                 2.0631,                 2.3934,                 1.3816,              0.0014349,              0.0014349,              0.0014349
                     21,                 1.4837,                 1.2423,                 1.3472,                 1.8624,                 1.7611,                 1.3011,                0.41333,                0.34579,                0.27039,                0.15706,                 1.6345,                 1.8115,                 1.3717,                 2.0195,                  2.562,                 1.3713,               0.001422,               0.001422,               0.001422
                     22,                 1.4655,                 1.2403,                  1.351,                 1.8342,                 1.7555,                 1.3097,                0.38102,                0.38025,                0.27432,                0.16708,                  1.636,                  1.821,                 1.4012,                  2.053,                 2.5967,                 1.3892,              0.0014091,              0.0014091,              0.0014091
                     23,                 1.4782,                 1.2264,                 1.3569,                 1.8707,                 1.7661,                 1.3127,                0.40252,                0.35236,                0.27403,                0.15241,                 1.6447,                 1.9304,                 1.4056,                 2.1049,                  2.836,                 1.4194,              0.0013962,              0.0013962,              0.0013962
                     24,                 1.4359,                 1.2087,                 1.3314,                 1.8267,                 1.7514,                 1.2951,                0.40905,                0.37519,                0.28796,                0.17148,                 1.6429,                 1.7779,                 1.3829,                 2.0717,                 2.5486,                 1.3856,              0.0013833,              0.0013833,              0.0013833
                     25,                 1.4384,                 1.2115,                 1.3273,                 1.8317,                 1.7628,                 1.2847,                0.42035,                0.36925,                0.30169,                0.16958,                 1.7035,                  1.715,                 1.4121,                 2.0646,                 2.4215,                  1.389,              0.0013705,              0.0013705,              0.0013705
                     26,                 1.4401,                 1.1687,                 1.3274,                 1.8141,                 1.6907,                 1.2955,                0.36985,                0.31844,                0.24001,                 0.1451,                  1.603,                 1.8293,                 1.3637,                 1.9845,                 2.5415,                 1.3516,              0.0013576,              0.0013576,              0.0013576
                     27,                 1.4337,                 1.1894,                  1.327,                 1.8144,                 1.7227,                 1.2921,                0.41661,                0.37797,                0.29484,                 0.1702,                 1.6088,                 1.7022,                 1.3928,                 1.9996,                 2.4239,                 1.3528,              0.0013447,              0.0013447,              0.0013447
                     28,                 1.4338,                 1.1903,                 1.3021,                 1.8302,                 1.7188,                 1.2586,                0.37651,                0.38928,                0.29489,                0.17632,                 1.5698,                 1.6568,                 1.3537,                 1.9595,                 2.3854,                 1.3342,              0.0013318,              0.0013318,              0.0013318
                     29,                 1.4054,                 1.1375,                 1.3172,                 1.8033,                 1.6644,                 1.2765,                0.42723,                 0.3742,                0.29511,                0.16977,                 1.6035,                 1.6582,                 1.3733,                 2.0002,                  2.399,                 1.3434,              0.0013189,              0.0013189,              0.0013189
                     30,                 1.4066,                 1.1447,                 1.3183,                 1.8071,                 1.6763,                 1.2692,                0.40392,                0.37587,                0.29156,                0.17317,                 1.5564,                 1.6161,                 1.3465,                 1.9198,                 2.3893,                 1.3239,               0.001306,               0.001306,               0.001306
                     31,                 1.3999,                 1.0973,                 1.3048,                 1.7904,                 1.6329,                 1.2636,                0.38549,                0.41087,                0.31542,                0.18509,                 1.6016,                 1.6958,                 1.3762,                 2.0287,                 2.4188,                 1.3549,              0.0012931,              0.0012931,              0.0012931
                     32,                  1.413,                 1.1302,                 1.2979,                 1.8198,                 1.6701,                 1.2563,                0.42955,                0.39799,                0.30778,                0.18737,                 1.5871,                 1.6822,                 1.3511,                 2.0418,                 2.4586,                 1.3454,              0.0012802,              0.0012802,              0.0012802
                     33,                 1.3704,                 1.0915,                 1.2755,                 1.7609,                 1.6176,                 1.2401,                0.42262,                0.38982,                0.29644,                 0.1662,                 1.6267,                 1.7275,                 1.3807,                 2.0261,                 2.4487,                 1.3676,              0.0012673,              0.0012673,              0.0012673
                     34,                 1.3835,                 1.0932,                 1.2794,                 1.7799,                 1.6282,                 1.2472,                0.40232,                0.38646,                 0.3113,                0.19151,                 1.5153,                 1.6086,                 1.3181,                 1.8934,                 2.3702,                 1.3045,              0.0012544,              0.0012544,              0.0012544
                     35,                 1.3726,                 1.0908,                 1.2795,                 1.7724,                 1.6327,                 1.2447,                0.46638,                0.33554,                0.31544,                0.19152,                 1.5105,                 1.6244,                 1.3318,                  1.933,                 2.4857,                 1.3143,              0.0012415,              0.0012415,              0.0012415
                     36,                 1.3601,                 1.0878,                 1.2919,                 1.7499,                  1.622,                 1.2638,                0.40259,                 0.3804,                0.30287,                0.18566,                  1.519,                 1.6498,                 1.3162,                 1.9666,                 2.3882,                 1.3164,              0.0012286,              0.0012286,              0.0012286
                     37,                 1.3486,                 1.0684,                 1.2694,                   1.74,                 1.5954,                 1.2422,                0.43326,                0.38791,                0.29474,                0.17194,                   1.62,                 1.6159,                 1.3812,                 2.0126,                 2.4129,                 1.3488,              0.0012157,              0.0012157,              0.0012157
                     38,                 1.3548,                 1.0387,                 1.2636,                 1.7545,                 1.5522,                 1.2309,                0.39307,                0.41617,                0.31306,                0.18357,                 1.5541,                 1.6323,                 1.3606,                 1.9653,                 2.4299,                 1.3362,              0.0012028,              0.0012028,              0.0012028
                     39,                 1.3278,                 1.0233,                 1.2463,                 1.7313,                 1.5267,                 1.2159,                0.41363,                0.41663,                0.33897,                0.20165,                 1.4829,                 1.5059,                 1.2953,                 1.9251,                 2.3341,                 1.2912,                0.00119,                0.00119,                0.00119
                     40,                 1.3537,                 1.0626,                 1.2592,                 1.7609,                 1.5957,                 1.2311,                0.46318,                0.38025,                0.32451,                0.19035,                  1.552,                 1.5075,                 1.3473,                 1.9512,                 2.3544,                  1.323,              0.0011771,              0.0011771,              0.0011771
                     41,                 1.3315,                 1.0387,                 1.2634,                 1.7335,                 1.5585,                 1.2312,                0.39528,                0.40311,                0.30631,                0.18535,                 1.5291,                 1.5618,                 1.3409,                 1.9726,                 2.4499,                 1.2996,              0.0011642,              0.0011642,              0.0011642
                     42,                 1.3076,                  1.013,                 1.2576,                 1.7046,                 1.5287,                 1.2335,                0.42805,                0.42855,                0.34628,                0.19989,                  1.544,                 1.5238,                 1.3607,                 1.9201,                 2.3122,                 1.3244,              0.0011513,              0.0011513,              0.0011513
                     43,                  1.304,                 1.0028,                 1.2387,                 1.7022,                 1.5084,                 1.2104,                0.45964,                 0.4006,                0.33534,                0.20612,                 1.4765,                 1.4716,                 1.3188,                 1.9142,                  2.279,                 1.3028,              0.0011384,              0.0011384,              0.0011384
                     44,                 1.3161,                 1.0177,                   1.24,                 1.7188,                 1.5289,                 1.2179,                0.41565,                0.38233,                0.32159,                0.19457,                 1.5168,                 1.5844,                 1.3334,                 1.9257,                 2.3465,                 1.3096,              0.0011255,              0.0011255,              0.0011255
                     45,                 1.2976,                 1.0174,                 1.2439,                 1.6795,                 1.5087,                 1.2213,                0.44745,                0.42804,                 0.3549,                0.21077,                 1.4942,                 1.4814,                 1.3434,                 1.9004,                 2.2283,                 1.2884,              0.0011126,              0.0011126,              0.0011126
                     46,                 1.3005,                 1.0111,                 1.2534,                 1.6738,                 1.5262,                 1.2285,                 0.4798,                0.38247,                0.32747,                 0.1923,                 1.5673,                 1.5102,                 1.3729,                 1.9741,                 2.2064,                 1.3201,              0.0010997,              0.0010997,              0.0010997
                     47,                 1.2925,                0.99339,                 1.2365,                 1.7121,                 1.5325,                 1.2147,                0.41756,                0.40332,                0.32579,                0.19918,                 1.5078,                 1.5578,                 1.3377,                 1.9489,                  2.304,                 1.3397,              0.0010868,              0.0010868,              0.0010868
                     48,                 1.2963,                0.98018,                 1.2376,                 1.6853,                 1.4729,                 1.2135,                 0.4318,                0.40792,                0.32471,                0.18359,                 1.6005,                 1.5148,                 1.3831,                  1.956,                 2.2923,                 1.3221,              0.0010739,              0.0010739,              0.0010739
                     49,                 1.2803,                 0.9863,                 1.2403,                   1.67,                 1.4721,                 1.2204,                0.39268,                0.42289,                0.32843,                0.19401,                 1.4606,                 1.4674,                 1.3233,                 1.8859,                 2.2433,                 1.2889,               0.001061,               0.001061,               0.001061
                     50,                  1.287,                0.97717,                 1.2241,                 1.7027,                 1.4971,                 1.2036,                 0.4195,                0.40722,                0.33379,                0.19006,                 1.5114,                 1.5257,                 1.3331,                 1.9196,                 2.2553,                 1.3006,              0.0010481,              0.0010481,              0.0010481
                     51,                 1.2419,                0.94834,                 1.2132,                 1.6333,                 1.4361,                  1.195,                0.50953,                0.41036,                0.34666,                0.21868,                 1.5272,                 1.4645,                 1.3439,                 1.9277,                  2.218,                 1.3162,              0.0010352,              0.0010352,              0.0010352
                     52,                 1.2575,                0.95754,                 1.2069,                 1.6485,                 1.4487,                 1.1956,                0.43528,                0.39862,                0.32874,                0.19429,                 1.5562,                  1.569,                 1.3533,                 1.9378,                 2.3076,                 1.3303,              0.0010223,              0.0010223,              0.0010223
                     53,                 1.2724,                0.95568,                 1.2119,                 1.6671,                 1.4355,                 1.1965,                0.44535,                0.39538,                0.33729,                  0.216,                 1.4931,                 1.4954,                 1.3301,                 1.9243,                 2.2633,                 1.3191,              0.0010094,              0.0010094,              0.0010094
                     54,                 1.2571,                0.95895,                  1.202,                 1.6707,                 1.4719,                 1.1861,                0.47552,                0.38389,                0.33431,                0.20645,                 1.4821,                 1.5352,                 1.3144,                 1.9544,                 2.2981,                 1.3175,             0.00099655,             0.00099655,             0.00099655
                     55,                 1.2478,                0.92702,                 1.1965,                 1.6418,                 1.4092,                 1.1766,                0.48069,                0.41183,                0.34658,                0.20954,                 1.5017,                 1.4658,                 1.3344,                 1.9108,                 2.2256,                 1.3096,             0.00098366,             0.00098366,             0.00098366
                     56,                 1.2475,                0.93381,                 1.2001,                 1.6302,                 1.4159,                 1.1794,                0.44726,                 0.4027,                0.33615,                0.19793,                 1.4978,                 1.5481,                 1.3082,                 1.8839,                 2.3712,                  1.262,             0.00097077,             0.00097077,             0.00097077
                     57,                 1.2164,                0.88852,                 1.1911,                 1.6056,                 1.3654,                 1.1725,                0.49199,                0.39764,                0.35536,                0.21515,                 1.5001,                 1.4446,                 1.3267,                 1.9123,                 2.2904,                 1.2832,             0.00095787,             0.00095787,             0.00095787
                     58,                 1.2416,                0.92503,                 1.1871,                  1.658,                 1.4329,                 1.1698,                0.47206,                0.38695,                0.32763,                0.19583,                 1.4975,                 1.4828,                  1.339,                 1.9037,                 2.2547,                 1.3116,             0.00094498,             0.00094498,             0.00094498
                     59,                 1.2229,                0.90753,                 1.1791,                 1.6377,                 1.4044,                 1.1669,                0.43569,                0.37815,                0.32684,                0.20824,                 1.5116,                 1.4791,                 1.3328,                 1.9055,                  2.243,                 1.2809,             0.00093209,             0.00093209,             0.00093209
                     60,                 1.2254,                0.91581,                 1.1903,                 1.6177,                 1.4102,                 1.1783,                0.50136,                0.40531,                0.35645,                0.21558,                 1.5149,                 1.4468,                 1.3427,                 1.9142,                 2.2319,                 1.2953,             0.00091919,             0.00091919,             0.00091919
                     61,                 1.2043,                0.88108,                 1.1693,                 1.5982,                 1.3301,                 1.1537,                0.46043,                0.42392,                0.35368,                0.21846,                 1.4754,                  1.457,                 1.3117,                 1.8964,                  2.238,                 1.2952,              0.0009063,              0.0009063,              0.0009063
                     62,                 1.1887,                0.88228,                 1.1772,                 1.5828,                 1.3619,                 1.1725,                0.49529,                0.41523,                0.34495,                0.21657,                 1.4905,                 1.4704,                 1.3241,                 1.9175,                  2.262,                 1.3057,             0.00089341,             0.00089341,             0.00089341
                     63,                 1.2042,                0.88801,                 1.1676,                 1.5968,                 1.3629,                 1.1629,                0.46827,                0.39894,                0.34069,                 0.2076,                 1.5295,                 1.4916,                 1.3674,                 1.9657,                 2.2734,                  1.339,             0.00088051,             0.00088051,             0.00088051
                     64,                 1.1877,                 0.8985,                 1.1832,                  1.593,                 1.3937,                 1.1808,                0.48378,                  0.363,                 0.3396,                 0.2013,                 1.5047,                  1.542,                  1.338,                 1.9501,                 2.3076,                 1.3195,             0.00086762,             0.00086762,             0.00086762
                     65,                 1.1878,                0.88656,                 1.1586,                 1.5786,                 1.3619,                 1.1541,                0.55724,                 0.3482,                  0.334,                0.20188,                 1.5305,                 1.5416,                 1.3567,                 1.9279,                 2.3059,                 1.3138,             0.00085473,             0.00085473,             0.00085473
                     66,                 1.1666,                0.84231,                 1.1721,                 1.5448,                 1.2989,                 1.1668,                0.52123,                0.39294,                0.35946,                0.22391,                 1.4867,                 1.4152,                 1.3076,                 1.9026,                 2.1852,                 1.2884,             0.00084184,             0.00084184,             0.00084184
                     67,                 1.1632,                0.84097,                 1.1596,                 1.5478,                 1.2863,                 1.1495,                0.46328,                0.37605,                0.30704,                0.19047,                  1.478,                 1.6542,                 1.3219,                 1.9277,                 2.4137,                 1.3083,             0.00082894,             0.00082894,             0.00082894
                     68,                 1.1853,                0.87667,                 1.1653,                 1.6303,                 1.3995,                 1.1526,                0.44668,                 0.4074,                0.33123,                0.20386,                  1.508,                 1.5226,                 1.3465,                 1.9679,                 2.3016,                 1.3298,             0.00081605,             0.00081605,             0.00081605
                     69,                 1.1305,                0.82535,                 1.1441,                 1.5163,                   1.27,                  1.138,                 0.4752,                0.40496,                0.35516,                0.22303,                 1.4859,                 1.4448,                 1.3246,                 1.9168,                 2.2044,                 1.3098,             0.00080316,             0.00080316,             0.00080316
                     70,                 1.1741,                0.86353,                 1.1674,                 1.5756,                 1.3485,                 1.1547,                0.49096,                0.40392,                0.35754,                0.22953,                 1.4512,                 1.4339,                 1.2929,                 1.9067,                 2.2349,                 1.2797,             0.00079026,             0.00079026,             0.00079026
                     71,                 1.1288,                0.82506,                 1.1486,                 1.5124,                 1.2881,                 1.1422,                0.49203,                0.38928,                0.34454,                0.22018,                 1.4631,                 1.5225,                 1.3142,                 1.8842,                 2.2898,                 1.3142,             0.00077737,             0.00077737,             0.00077737
                     72,                 1.1468,                0.82374,                 1.1389,                  1.552,                 1.2915,                 1.1303,                0.46748,                0.40758,                0.34495,                0.21789,                 1.4711,                 1.4923,                 1.3353,                 1.9057,                 2.3267,                 1.3334,             0.00076448,             0.00076448,             0.00076448
                     73,                 1.1297,                0.82445,                 1.1343,                 1.5256,                 1.2886,                 1.1305,                 0.5015,                0.39852,                0.36363,                0.22398,                  1.462,                 1.4677,                 1.3348,                 1.8904,                 2.3003,                 1.2963,             0.00075158,             0.00075158,             0.00075158
                     74,                 1.1191,                0.79822,                 1.1349,                 1.5219,                  1.263,                 1.1331,                0.51558,                0.38739,                0.34667,                0.21618,                 1.5007,                 1.4991,                 1.3364,                 1.9332,                 2.2794,                 1.3235,             0.00073869,             0.00073869,             0.00073869
                     75,                 1.1168,                0.78995,                 1.1384,                 1.5208,                 1.2434,                 1.1318,                0.47527,                0.40444,                0.35154,                0.22595,                  1.444,                 1.5075,                 1.3054,                  1.913,                 2.3876,                    1.3,              0.0007258,              0.0007258,              0.0007258
                     76,                 1.1094,                0.79353,                 1.1311,                 1.5264,                 1.2611,                 1.1297,                0.48786,                0.41175,                0.34836,                0.22431,                 1.4059,                 1.4737,                 1.2813,                 1.8519,                 2.2113,                 1.2857,              0.0007129,              0.0007129,              0.0007129
                     77,                 1.1353,                0.83694,                 1.1393,                 1.5573,                 1.3372,                 1.1418,                0.50337,                0.41401,                0.34286,                0.20707,                 1.4628,                 1.5141,                 1.3312,                 1.8908,                  2.282,                 1.3195,             0.00070001,             0.00070001,             0.00070001
                     78,                 1.1084,                0.80825,                 1.1255,                 1.5148,                 1.2704,                 1.1324,                 0.4765,                0.38976,                0.33952,                0.21512,                 1.4521,                 1.5053,                 1.3031,                 1.8903,                  2.303,                 1.2862,             0.00068712,             0.00068712,             0.00068712
                     79,                 1.1133,                0.79969,                 1.1256,                 1.5384,                 1.2903,                 1.1295,                0.49274,                0.40096,                0.34259,                0.21883,                 1.4389,                 1.5995,                 1.3089,                  1.876,                 2.4244,                 1.2858,             0.00067422,             0.00067422,             0.00067422
                     80,                 1.1108,                0.79015,                 1.1241,                 1.5127,                 1.2468,                 1.1248,                0.55113,                 0.3828,                0.35293,                0.22578,                  1.468,                 1.4664,                  1.314,                 1.8998,                 2.2609,                 1.3055,             0.00066133,             0.00066133,             0.00066133
                     81,                  1.092,                0.79564,                 1.1164,                 1.4965,                 1.2516,                 1.1178,                0.50126,                0.40288,                0.35528,                0.22829,                 1.4374,                 1.4238,                 1.3073,                 1.8588,                  2.206,                 1.2735,             0.00064844,             0.00064844,             0.00064844
                     82,                 1.0815,                0.76892,                 1.1213,                 1.4733,                  1.227,                 1.1236,                0.48068,                0.40044,                0.34187,                0.21755,                  1.444,                 1.4609,                 1.3428,                  1.872,                 2.2854,                 1.2994,             0.00063554,             0.00063554,             0.00063554
                     83,                 1.0891,                 0.7776,                 1.1134,                 1.4929,                 1.2304,                 1.1171,                0.49101,                0.38138,                0.34841,                0.21971,                 1.4616,                  1.438,                  1.329,                 1.8879,                 2.2414,                 1.3018,             0.00062265,             0.00062265,             0.00062265
                     84,                 1.0862,                0.78408,                  1.114,                 1.5062,                 1.2551,                 1.1157,                0.49951,                0.39328,                0.35833,                0.22094,                  1.432,                 1.4886,                 1.3138,                 1.9074,                 2.3056,                 1.3026,             0.00060976,             0.00060976,             0.00060976
                     85,                  1.069,                0.77998,                 1.1127,                 1.4604,                 1.2346,                 1.1206,                0.50598,                 0.4074,                0.36295,                0.22827,                 1.4496,                 1.4145,                  1.317,                 1.8832,                 2.2161,                 1.2893,             0.00059686,             0.00059686,             0.00059686
                     86,                 1.0535,                0.73847,                 1.1043,                 1.4605,                 1.1843,                 1.1132,                0.48425,                0.39922,                0.34679,                0.22404,                 1.4816,                 1.4979,                 1.3343,                 1.8982,                 2.2957,                 1.2957,             0.00058397,             0.00058397,             0.00058397
                     87,                 1.0686,                0.75138,                 1.1132,                  1.474,                 1.1919,                 1.1161,                0.53011,                0.41479,                0.36962,                0.23011,                 1.4697,                 1.4181,                 1.3219,                 1.8841,                 2.2206,                  1.292,             0.00057108,             0.00057108,             0.00057108
                     88,                 1.0698,                 0.7672,                  1.092,                 1.4976,                 1.2394,                 1.0979,                0.52434,                0.40114,                0.37062,                 0.2328,                 1.4509,                 1.4244,                 1.3199,                  1.852,                 2.2481,                 1.2709,             0.00055818,             0.00055818,             0.00055818
                     89,                 1.0462,                0.74644,                 1.0932,                 1.4633,                 1.2033,                 1.1019,                0.58303,                0.37675,                0.35994,                0.22606,                 1.4465,                 1.4123,                 1.3274,                 1.8938,                 2.2469,                 1.2959,             0.00054529,             0.00054529,             0.00054529
                     90,                 1.0365,                0.73245,                 1.0862,                 1.4665,                 1.1854,                 1.0931,                0.52907,                 0.4027,                0.36477,                0.22634,                 1.4658,                 1.3994,                 1.3472,                 1.8912,                   2.25,                  1.275,              0.0005324,              0.0005324,              0.0005324
                     91,                 1.0425,                0.73647,                 1.0923,                 1.4504,                 1.1853,                 1.1032,                0.57903,                0.39504,                0.36061,                 0.2308,                 1.4603,                 1.3701,                 1.3287,                 1.9045,                 2.2035,                 1.2985,              0.0005195,              0.0005195,              0.0005195
                     92,                 1.0495,                0.74191,                 1.0898,                 1.4839,                 1.2189,                 1.0966,                0.44959,                 0.3956,                0.33992,                 0.2159,                 1.4823,                 1.4745,                 1.3662,                  1.906,                 2.3061,                 1.3156,             0.00050661,             0.00050661,             0.00050661
                     93,                 1.0386,                 0.7299,                 1.0909,                 1.4505,                 1.1749,                 1.0964,                0.51595,                  0.402,                0.36497,                 0.2296,                 1.4582,                 1.3899,                 1.3231,                 1.8902,                 2.1839,                 1.3001,             0.00049372,             0.00049372,             0.00049372
                     94,                 1.0309,                0.73005,                 1.0868,                 1.4264,                 1.1856,                 1.0972,                0.53148,                0.39353,                0.34938,                0.22494,                 1.4583,                 1.4999,                 1.3213,                 1.8997,                 2.3007,                 1.2986,             0.00048083,             0.00048083,             0.00048083
                     95,                 1.0265,                0.70597,                 1.0688,                  1.427,                 1.1145,                 1.0773,                0.57867,                0.36796,                 0.3488,                0.21814,                 1.4901,                 1.4729,                 1.3544,                 1.8972,                 2.3186,                 1.3225,             0.00046793,             0.00046793,             0.00046793
                     96,                 1.0063,                0.71328,                 1.0786,                 1.3999,                 1.1562,                  1.089,                0.55023,                0.38041,                0.34071,                0.21802,                 1.4797,                 1.4989,                 1.3329,                 1.9021,                 2.3216,                 1.3071,             0.00045504,             0.00045504,             0.00045504
                     97,                 1.0264,                0.72293,                 1.0791,                 1.4291,                 1.1737,                 1.0885,                0.57209,                 0.4074,                0.36459,                0.23218,                 1.4524,                 1.4391,                 1.3195,                 1.8841,                 2.2729,                 1.2907,             0.00044215,             0.00044215,             0.00044215
                     98,                 1.0377,                0.73195,                 1.0768,                 1.4706,                 1.2041,                 1.0917,                0.53468,                0.38529,                 0.3493,                0.22821,                 1.4404,                 1.5036,                 1.3101,                 1.8905,                 2.3266,                 1.2974,             0.00042925,             0.00042925,             0.00042925
