                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6451,                 2.3638,                 1.8042,                 1.6469,                 3.6918,                 1.7346,                 0.6874,                 0.1087,                0.09853,                0.04897,                 2.4928,                 22.931,                 3.4391,                  2.515,                 8.9594,                  2.644,             0.00055196,             0.00055196,             0.00055196
                      2,                 1.8427,                 2.3967,                  1.998,                 1.9138,                 2.8263,                 1.9667,                 0.1594,                0.14023,                0.06552,                0.03384,                 2.3804,                  9.402,                 3.1178,                 2.4682,                   7.76,                 2.6079,              0.0010991,              0.0010991,              0.0010991
                      3,                 1.8165,                 2.3462,                 1.9677,                 1.9161,                 2.7348,                 1.9673,                 0.1328,                0.14279,                0.08762,                0.03659,                 2.4992,                 6.0366,                 2.7645,                  2.733,                 5.2668,                 2.7398,              0.0016376,              0.0016376,              0.0016376
                      4,                 1.8403,                 2.3795,                 1.9923,                 1.9467,                 2.7736,                 1.9694,                0.33574,                0.26499,                0.13633,                0.07788,                 1.8986,                 5.2795,                 2.0391,                 1.9791,                 5.0137,                 2.0437,              0.0016283,              0.0016283,              0.0016283
                      5,                 1.7048,                 2.1496,                 1.8728,                 1.7965,                 2.5216,                 1.8531,                0.38514,                0.26485,                0.17517,                0.09964,                  1.844,                 3.0497,                 2.0562,                 1.9532,                 3.5207,                 2.0135,              0.0016283,              0.0016283,              0.0016283
                      6,                 1.6501,                 1.9745,                 1.8498,                 1.7406,                 2.3288,                 1.8265,                0.37361,                0.26285,                0.24293,                0.15413,                 1.7285,                 2.8888,                 1.9291,                 1.8492,                 3.2192,                 1.9832,              0.0016154,              0.0016154,              0.0016154
                      7,                 1.6421,                 1.9483,                  1.829,                 1.7671,                 2.2633,                 1.8035,                0.30094,                0.33103,                0.22083,                0.11763,                 1.8904,                 2.6584,                 2.0461,                 1.8999,                 3.0874,                 1.9265,              0.0016025,              0.0016025,              0.0016025
                      8,                 1.5921,                 1.8541,                 1.7943,                 1.6922,                 2.1857,                 1.7729,                 0.4218,                0.25997,                0.21895,                0.12585,                 1.8377,                 2.9637,                  2.085,                 1.9512,                 3.3849,                 2.0184,              0.0015896,              0.0015896,              0.0015896
                      9,                 1.5416,                 1.7672,                 1.7378,                 1.6484,                 2.0681,                 1.7212,                0.38345,                0.37171,                0.31488,                0.16709,                 1.7528,                 2.4875,                 1.8881,                   1.88,                 2.7751,                 1.9008,              0.0015767,              0.0015767,              0.0015767
                     10,                 1.5333,                 1.6925,                 1.7335,                 1.6162,                 1.9925,                 1.7145,                0.47454,                0.24662,                0.25483,                0.14061,                 1.7788,                 2.8415,                 2.0711,                 1.8251,                  2.976,                 1.9648,              0.0015639,              0.0015639,              0.0015639
                     11,                 1.5124,                 1.7008,                  1.716,                 1.6209,                 2.0067,                  1.713,                0.40975,                0.24002,                0.24012,                0.12277,                 1.9189,                 3.0583,                 2.1822,                 1.9508,                 4.0315,                 2.1403,               0.001551,               0.001551,               0.001551
                     12,                 1.4949,                 1.6431,                 1.6931,                 1.6029,                 1.9455,                 1.6925,                0.44029,                0.40604,                0.37224,                0.20748,                 1.7501,                 2.3316,                 1.9115,                 1.7331,                  2.723,                 1.8487,              0.0015381,              0.0015381,              0.0015381
                     13,                 1.4692,                 1.5692,                 1.6828,                 1.5588,                 1.8632,                 1.6815,                0.32101,                0.42408,                0.28551,                0.17034,                 1.7775,                 2.4307,                 2.0282,                 1.8014,                 2.8911,                 1.9237,              0.0015252,              0.0015252,              0.0015252
                     14,                 1.4654,                 1.5662,                 1.6747,                 1.5789,                 1.8331,                 1.6882,                0.48333,                0.30129,                0.29761,                0.19099,                 1.7751,                 2.6611,                 1.9837,                 1.7831,                  3.089,                 1.8648,              0.0015123,              0.0015123,              0.0015123
                     15,                 1.4286,                  1.496,                 1.6316,                 1.5409,                 1.7811,                 1.6389,                0.60857,                0.24934,                0.29489,                0.18886,                 1.7698,                 2.5492,                 1.9693,                 1.7573,                 2.9072,                 1.9301,              0.0014994,              0.0014994,              0.0014994
                     16,                  1.395,                 1.4304,                  1.603,                 1.4927,                  1.699,                 1.5966,                0.55222,                0.36121,                0.39379,                0.22372,                 1.7718,                 2.4011,                   1.88,                 1.8567,                  2.676,                 1.8195,              0.0014865,              0.0014865,              0.0014865
                     17,                 1.4007,                 1.4884,                 1.6304,                 1.5012,                 1.7332,                 1.6368,                 0.4298,                0.34297,                0.31547,                0.18354,                 1.7199,                 2.4393,                 1.9174,                 1.8706,                 2.7091,                 1.9146,              0.0014736,              0.0014736,              0.0014736
                     18,                 1.3974,                 1.4311,                 1.6048,                 1.4889,                 1.7101,                 1.6016,                0.54694,                0.32532,                0.32049,                0.19143,                  1.693,                 2.3356,                 1.8843,                 1.8136,                 2.8466,                 1.8811,              0.0014607,              0.0014607,              0.0014607
                     19,                 1.3725,                 1.3972,                 1.5971,                 1.4731,                 1.6685,                 1.5916,                0.48916,                0.34593,                0.35929,                0.21689,                 1.6781,                 2.1778,                 1.8651,                 1.7242,                  2.495,                 1.8315,              0.0014478,              0.0014478,              0.0014478
                     20,                 1.3677,                 1.3961,                 1.5923,                 1.4857,                 1.6622,                 1.6028,                0.41268,                0.35944,                0.29518,                0.17184,                 1.7075,                 2.3138,                 1.8803,                 1.8367,                 2.7732,                  1.868,              0.0014349,              0.0014349,              0.0014349
                     21,                 1.3757,                 1.3771,                  1.586,                 1.4763,                 1.6537,                 1.5857,                0.44806,                 0.4068,                0.33353,                0.20475,                 1.5232,                 2.1858,                 1.7282,                 1.6852,                 2.5544,                 1.7707,               0.001422,               0.001422,               0.001422
