                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8036,                 2.1856,                 1.6488,                 2.0714,                 3.1119,                 1.5489,                0.19942,                0.21534,                0.09041,                0.04715,                 2.0191,                 3.7788,                 1.7588,                 2.2503,                 4.0393,                 1.6923,             0.00055389,             0.00055389,             0.00055389
                      2,                 1.9551,                 2.2273,                 1.7179,                 2.2763,                 2.7739,                 1.6233,                0.10792,                0.13318,                0.04874,                0.02077,                 2.2078,                 5.4656,                 1.8954,                 2.3961,                 5.1641,                 1.7268,               0.001101,               0.001101,               0.001101
                      3,                 1.9315,                  2.183,                 1.6897,                 2.2663,                 2.7186,                 1.5832,                0.27709,                0.21474,                0.13758,                0.06715,                 1.9951,                 2.5839,                  1.657,                 2.3089,                 3.5895,                 1.5653,              0.0016395,              0.0016395,              0.0016395
                      4,                 1.8717,                 2.0489,                 1.6548,                 2.1998,                 2.5867,                 1.5642,                0.21837,                0.23555,                  0.098,                 0.0483,                 1.9278,                 3.4368,                 1.6097,                  2.263,                 4.0943,                 1.5345,              0.0016283,              0.0016283,              0.0016283
                      5,                 1.7852,                 1.8822,                  1.617,                 2.0995,                 2.4074,                 1.5328,                 0.3177,                0.29197,                0.18974,                0.09645,                 1.8887,                 2.4067,                 1.6036,                 2.2852,                 3.4208,                 1.5727,              0.0016283,              0.0016283,              0.0016283
                      6,                 1.7383,                 1.7814,                 1.5643,                 2.0765,                 2.3299,                  1.497,                0.27973,                0.29631,                0.18545,                0.10304,                 1.8731,                 2.6665,                 1.5919,                 2.2734,                 3.8995,                 1.5318,              0.0016154,              0.0016154,              0.0016154
                      7,                 1.7507,                 1.8313,                 1.5812,                 2.0974,                 2.3928,                 1.5074,                0.29393,                0.31528,                0.18419,                0.09323,                 1.9349,                 2.4691,                 1.5844,                 2.2209,                 3.2319,                 1.5478,              0.0016025,              0.0016025,              0.0016025
                      8,                 1.7231,                  1.703,                 1.5427,                 2.0711,                 2.2575,                 1.4645,                0.32677,                0.33165,                0.22004,                0.10997,                 1.8217,                 2.4402,                 1.5453,                 2.2058,                 3.3316,                  1.477,              0.0015896,              0.0015896,              0.0015896
                      9,                 1.6837,                 1.6395,                 1.5245,                 2.0015,                 2.2078,                 1.4501,                0.34629,                0.28333,                 0.2091,                0.12526,                 1.6855,                 1.9941,                  1.445,                 2.0475,                 2.7022,                 1.4195,              0.0015767,              0.0015767,              0.0015767
                     10,                 1.6729,                 1.6104,                 1.5127,                 2.0102,                  2.153,                 1.4402,                 0.3087,                0.33854,                0.21931,                0.12231,                 1.7411,                 2.4499,                 1.4506,                  2.159,                 3.4034,                  1.434,              0.0015639,              0.0015639,              0.0015639
                     11,                 1.6442,                 1.5361,                 1.5074,                 1.9845,                 2.0599,                 1.4445,                0.31879,                0.34696,                0.23745,                0.12561,                  1.897,                  2.207,                 1.5793,                 2.1673,                 2.8779,                 1.4979,               0.001551,               0.001551,               0.001551
                     12,                 1.6198,                 1.5045,                 1.4927,                 1.9782,                 2.0433,                 1.4338,                0.39813,                0.31982,                0.23885,                0.12743,                 1.8443,                 2.0233,                 1.5468,                 2.1961,                 2.5985,                 1.5285,              0.0015381,              0.0015381,              0.0015381
                     13,                 1.6024,                  1.481,                 1.4844,                 1.9473,                 2.0096,                 1.4221,                0.28245,                0.32404,                0.22216,                0.12667,                 1.7303,                 2.2618,                 1.4797,                 2.1033,                 3.2248,                 1.4357,              0.0015252,              0.0015252,              0.0015252
                     14,                 1.5969,                 1.4611,                  1.465,                 1.9495,                 2.0173,                   1.41,                0.37084,                0.32373,                0.22998,                0.13094,                  1.668,                 2.1773,                 1.4425,                 2.0469,                 3.1002,                 1.4214,              0.0015123,              0.0015123,              0.0015123
                     15,                 1.5625,                 1.4238,                 1.4482,                  1.912,                 1.9463,                 1.3996,                0.38303,                0.33165,                0.25249,                0.14889,                 1.6864,                 1.8259,                 1.4547,                 2.0745,                 2.4405,                 1.4467,              0.0014994,              0.0014994,              0.0014994
                     16,                 1.5767,                 1.4345,                 1.4634,                 1.9413,                 1.9912,                 1.4076,                0.43296,                0.34162,                0.27824,                0.15793,                 1.6369,                  1.963,                  1.445,                 2.0273,                 2.7664,                 1.4284,              0.0014865,              0.0014865,              0.0014865
                     17,                 1.5464,                 1.3761,                 1.4393,                 1.8943,                  1.894,                 1.3946,                0.42036,                0.36581,                 0.2723,                0.15386,                 1.7237,                 1.7376,                 1.4938,                 2.0647,                 2.3952,                 1.4485,              0.0014736,              0.0014736,              0.0014736
                     18,                 1.5381,                 1.3412,                 1.4084,                 1.8852,                 1.8613,                 1.3575,                 0.3899,                 0.3665,                0.26658,                0.15637,                 1.6748,                 1.7359,                 1.4363,                 2.0452,                 2.4156,                 1.4099,              0.0014607,              0.0014607,              0.0014607
                     19,                 1.5267,                 1.3628,                 1.4282,                 1.8795,                  1.877,                 1.3772,                  0.364,                0.33609,                0.22242,                0.12121,                 1.7066,                 2.0789,                 1.4594,                 2.0486,                 2.6467,                 1.4133,              0.0014478,              0.0014478,              0.0014478
                     20,                 1.5469,                  1.347,                 1.4385,                 1.8966,                 1.8889,                 1.3786,                0.38769,                0.31702,                0.26582,                0.14994,                 1.7472,                 1.9225,                 1.4833,                 2.0686,                 2.6126,                 1.4251,              0.0014349,              0.0014349,              0.0014349
                     21,                 1.5291,                  1.356,                 1.4182,                 1.8914,                 1.9026,                 1.3632,                0.45778,                0.34319,                0.28352,                0.16319,                  1.596,                 1.8437,                 1.4262,                  1.948,                 2.4722,                 1.3849,               0.001422,               0.001422,               0.001422
                     22,                 1.4974,                  1.305,                 1.4001,                 1.8684,                 1.8667,                  1.351,                0.42284,                0.31286,                0.28714,                0.17501,                 1.6557,                 1.7002,                 1.4308,                  2.052,                 2.4966,                 1.3901,              0.0014091,              0.0014091,              0.0014091
                     23,                 1.4996,                  1.285,                 1.4164,                 1.8837,                 1.8525,                 1.3648,                0.41752,                0.38718,                0.28172,                0.16272,                 1.5944,                 1.7022,                 1.3966,                 2.0149,                 2.4882,                 1.3729,              0.0013962,              0.0013962,              0.0013962
                     24,                 1.5138,                 1.2893,                 1.4192,                 1.8667,                 1.8337,                 1.3671,                0.40685,                0.34722,                0.25803,                0.15858,                 1.5108,                  1.984,                 1.3603,                  1.901,                 2.7736,                 1.3405,              0.0013833,              0.0013833,              0.0013833
                     25,                 1.4539,                 1.2316,                 1.3819,                 1.8308,                 1.7717,                 1.3386,                0.47328,                0.34836,                0.32253,                 0.1993,                 1.5419,                 1.5957,                 1.3676,                 1.9101,                 2.3557,                 1.3471,              0.0013705,              0.0013705,              0.0013705
                     26,                 1.4704,                  1.223,                 1.3903,                 1.8426,                 1.7484,                 1.3479,                0.44046,                0.35536,                0.29676,                0.17456,                 1.5559,                 1.7472,                 1.3667,                  2.006,                 2.5309,                 1.3679,              0.0013576,              0.0013576,              0.0013576
